Road Name,Carriageway Start Name,Carriageway End Name,Location,Latest Count,Count Date,Peak Hour,Count Duration,ADT,Peak Traffic,Car (%),LCV (%),MCV (%),HCVI (%),HCVII (%),Bus (%),HCV Total (%),X Coordinate NZTM,Y Coordinate NZTM
KEMP RD (AWHITU),AWHITU RD,AWHITU CENTRAL RD,4225,Yes,1201392000000,14:00,NA,173,34,92,2,2,1,3,0,6,1741064.5727,5893407.4945
KOHEKOHE-KARIOITAHI RD,AWHITU RD,B.WESTHEAD RD,340,Yes,1307750400000,1600,NA,95,20,81,9,3,4,3,0,10,1746624.7001,5882330.6228
KOHEKOHE-KARIOITAHI RD,TAURANGARURU RD,KARIOITAHI RD,12200,Yes,1243728000000,1100,NA,97,19,82,3,12,2,1,0,15,1748860.5016,5873672.0597
MARAE O REHIA RD,AWHITU RD,END,111,Yes,1145404800000,16:00,NA,166,25,91,2,6,1,0,0,7,1751499.4174,5877320.1158
MATAKAWAU RD,AWHITU RD,WIDTH CHANGE,50,Yes,1245283200000,800,NA,324,0,90,2,7,1,0,0,8,1743623.3133,5891469.5137
PARAKAU RD,AWHITU RD,END,50,Yes,974246400000,NA,NA,54,NA,81,9,3,4,3,0,10,1749739.5318,5879926.6569
PONSFORD RD,AWHITU RD,LEES GULLY RD,119,Yes,1145404800000,11:00,NA,26,9,94,1,4,0,1,0,5,1745461.4707,5884030.8573
TAHUNA PA RD,AWHITU RD,END (GATE),50,Yes,972086400000,NA,NA,53,NA,81,9,3,4,3,0,10,1751040.4552,5878105.4793
TAHURANGATIRA RD,AWHITU RD,END,50,Yes,972086400000,NA,NA,122,NA,81,9,3,4,3,0,10,1751233.3222,5877640.1674
TAURANGARURU RD,PARK RD,MCNAUGHTEN RD,1490,Yes,1313020800000,1200,NA,320,42,91,3,4,1,1,0,6,1750646.7401,5876187.87
WAIPIPI WHARF RD,AWHITU RD (POWERPOLE LHS),FURNESS RD,100,Yes,1145404800000,17:00,NA,178,26,94,2,2,2,0,0,4,1749678.2098,5880717.4861
WEST COAST RD (AWHITU),AWHITU RD,END,100,Yes,1132358400000,11:00,NA,78,24,91,2,2,2,3,0,7,1742886.7857,5889506.8547
WATTLE BAY RD,ORUA BAY RD (RHS),GAP RD,100,Yes,1132358400000,12:00,NA,143,31,88,5,5,2,0,0,7,1743178.974,5898265.6277
ADAMS DR,PAERATA RD (SOUTH),LOCHVIEW TCE,40,Yes,1332720000000,1600,NA,1420,266,89,2,7,2,0,0,9,1768824.1051,5882539.072
KAYES RD,MARGARITA RISE,BEATTY RD,756,Yes,1149811200000,17:00,NA,1861,222,97,1,2,0,0,0,2,1768245.4972,5881983.4838
LOUGH BOURNE DR,PAERATA RD,START DIVIDED MEDIAN,40,Yes,1210464000000,17:00,NA,547,83,96,2,1,1,0,0,2,1768589.4227,5882992.9257
CRISP AVE,PAERATA RD,SUMP (RHS),30,Yes,1261267200000,1700,7D,235,33,94,1,4,1,0,0,5,1768869.8616,5882336.176
