OBJECTID,IDENTIFIER,ROADNAME,STATUS,CONSTRUCTIONYEAR,Council_Board,TYPEOFFACILITY,Shape__Length
652,198,Te Atatu Road (Interchange to Edmorton),Existing,2017,Henderson - Massey,Off-road shared path,707.497925695019
654,26,Te Atatu Road,Existing,2018,Henderson - Massey,Off-road shared path,71.6330477895197
655,198,Te Atatu Road (Interchange to Edmorton),Existing,2017,Henderson - Massey,Off-road shared path,138.78232354483399
657,NA,Soljak Pl bridge,Existing,2017,Albert - Eden,Off-road shared path,222.955233438218
658,NA,NA,Existing,2016,Whau,Off-road shared path,92.0604929957236
659,61,Ernie Pinches link,Existing,NA,Puketapapa,Off-road shared path,12.3870713069806
661,59,Southwestern Mway (Hillsborough to Seacliffe),Existing,NA,Maungakiekie - Tamaki,Off-road shared path,465.590779153979
662,NA,NA,Existing,2016,Albert - Eden,Off-road shared path,464.803161142718
663,NA,NA,Existing,2017,Puketapapa,Off-road shared path,174.691303443921
664,61,Southwestern Mway (Maioro Road to Hillsborough Road),Existing,NA,Puketapapa,Off-road shared path,45.234369048593
666,421,Sandringham  Road Extension,Existing,NA,Puketapapa,Off-road shared path,197.892379573842
668,NA,NA,Existing,NA,Whau,Off-road shared path,67.9549000896673
669,7,Henderson Creek Path,Existing,NA,Henderson - Massey,Off-road shared path,1506.84872660154
670,9,Lower Opanuku Cycleway,Existing,NA,Henderson - Massey,Off-road shared path,2004.57532646364
672,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,54.2830887484154
673,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,19.9344928231489
674,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,57.693789115877
675,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,15.4360599951233
676,105,North Western Cycleway (Te Atatu to Lincoln Rd),Existing,NA,Henderson - Massey,Off-road shared path,1048.62617965434
677,7,Henderson Creek Path,Existing,NA,Henderson - Massey,Off-road shared path,1495.22641317015
682,NA,NA,Existing,2017,Waitakere Ranges,Off-road shared path,883.167782115366
685,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,121.704934761608
688,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,347.671395874618
689,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,129.480811590438
693,1013,Moire Park Path,Existing,NA,Henderson - Massey,Off-road shared path,126.262314083627
694,NA,West Coast Rd,Existing,2017,Waitakere Ranges,Off-road shared path,144.907931363799
696,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,77.0839119462161
698,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,41.6377085228941
701,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,427.932605133781
702,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,114.652776265353
703,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,205.780042110158
704,533,Don Buck Road,Existing,NA,Henderson - Massey,Off-road shared path,175.382108998125
706,18,Upper Waikumete Cycleway,Existing,NA,Waitakere Ranges,Off-road shared path,124.954474127894
708,NA,NA,Existing,NA,Whau,Off-road shared path,143.891407477923
710,NA,NA,Existing,NA,Whau,Off-road shared path,0.0112645463956486
711,NA,NA,Existing,NA,Whau,Off-road shared path,102.952342733872
712,NA,NA,Existing,NA,Puketapapa,Off-road shared path,30.7350246265768
713,NA,NA,Existing,NA,Maungakiekie - Tamaki,Off-road shared path,960.894406330298
714,NA,NA,Existing,NA,Maungakiekie - Tamaki,Off-road shared path,135.668614017156
716,58,Waikaraka Cycleway,Existing,NA,Maungakiekie - Tamaki,Off-road shared path,591.012652789736
717,172,Onehunga Harbour Road,Existing,NA,Maungakiekie - Tamaki,Off-road shared path,28.8471969912267
718,NA,NA,Existing,NA,Puketapapa,Off-road shared path,69.9844458352361
720,1071,Frost Road,Existing,NA,Puketapapa,Off-road shared path,155.961508933041
726,18,Upper Waikumete Cycleway,Existing,NA,Waitakere Ranges,Off-road shared path,468.951359258991
728,NA,NA,Existing,NA,Whau,Off-road shared path,49.767768261803
730,NA,NA,Existing,NA,Whau,Off-road shared path,0.0911265599553165
731,NA,NA,Existing,NA,Whau,Off-road shared path,726.129002127661
732,NA,NA,Existing,NA,Maungakiekie – Tamaki,Off-road shared path,219.571319479882
733,NA,NA,Existing,NA,Maungakiekie - Tamaki,Off-road shared path,462.603690232725
734,82,Orpheus Drive SH20,Existing,NA,Maungakiekie - Tamaki,Off-road shared path,756.737032511362
735,NA,NA,Existing,NA,Maungakiekie - Tamaki,Off-road shared path,141.643242294187
737,1071,Overbridge,Existing,NA,Puketapapa,Off-road shared path,157.889515742429
738,16,Memorial and Somerset Road,Existing,NA,Puketapapa,Off-road shared path,619.027567037942
750,NA,NA,Existing,NA,Whau,Off-road shared path,132.468908513602
751,NA,NA,Existing,NA,Whau,Off-road shared path,185.053543424635
752,135,Beachcroft Avenue,Existing,NA,Maungakiekie - Tamaki,Off-road shared path,70.4702188567326
753,58,Waikaraka Cycleway,Existing,NA,Maungakiekie - Tamaki,Off-road shared path,858.370324540544
755,1119,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,8.1286532220533
756,14,Keith Hay Park,Existing,NA,Puketapapa,Off-road shared path,154.590992292195
757,11,War Memorial Park,Existing,NA,Puketapapa,Off-road shared path,872.554242386404
760,209,Brigham Creek Road,Existing,2012,Upper Harbour,Off-road shared path,1436.96950101171
767,206,Fred Taylor Drive,Existing,NA,Henderson Massey,Off-road shared path,161.218850635849
769,NA,NA,Existing,NA,Upper Harbour,Off-road shared path,236.412626813869
771,NA,St Luke's Rd,Existing,NA,Albert - Eden,Off-road shared path,115.129299851079
772,NA,St Luke's Rd,Existing,NA,Albert - Eden,Off-road shared path,114.888665914628
774,NA,NA,Existing,NA,Henderson - Massey,Off-road shared path,71.5409072628685
783,325,Riverhead Road,Existing,NA,Rodney,Off-road shared path,115.456588574874
784,NA,NA,Existing,NA,Albert - Eden,Off-road shared path,52.1159545942677
785,NA,NA,Existing,NA,Albert - Eden,Off-road shared path,95.102428056725
788,NA,St Luke's Rd,Existing,NA,Albert - Eden,Off-road shared path,97.059964885242
794,1040,Off road cycle route,Existing,NA,Devonport - Takapuna,Off-road shared path,1586.77564839386
798,NA,NA,Existing,NA,Albert - Eden,Off-road shared path,89.9782657219668
805,NA,SH1 overbridge,Existing,NA,Waitemata,Off-road shared path,95.6258749654928
807,NA,NA,Existing,NA,Puketapapa,Off-road shared path,472.23426816304
808,NA,Te Atatu Rd,Existing,2017,Henderson - Massey,Off-road shared path,156.222496363385
811,1123,Victoria Park,Existing,NA,Waitemata,Off-road shared path,133.245960247082
812,NA,NA,Existing,2017,Waitemata,Off-road shared path,41.8293762072261
816,NA,NA,Existing,NA,Puketapapa,Off-road shared path,123.427873090962
820,NA,McLeod Park,Existing,2016,Henderson - Massey,Off-road shared path,311.120265658303
823,NA,NA,Existing,2016,Henderson - Massey,Off-road shared path,252.172629519931
830,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,226.42678528254
831,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,1047.99099607518
832,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,40.3722203429859
835,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,233.844620911931
836,36,Orewa River Shared Path,Existing,NA,Hibiscus and Bays,Off-road shared path,52.1491840070631
837,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,158.494517543847
841,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,46.4077140997976
844,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,104.222625685697
845,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,148.833166279482
846,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,47.7888066552209
847,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,86.889172391985
848,412,Hibiscus Coast Hwy (SH1 to Silverdale),Existing,NA,Hibiscus and Bays,Off-road shared path,581.907112775814
849,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,688.287103566216
850,1024,Millwater Pwy,Existing,NA,Hibiscus and Bays,Off-road shared path,1041.89828777346
851,1024,Millwater Pwy,Existing,NA,Hibiscus and Bays,Off-road shared path,162.082381381099
852,1352,Bankside Road,Existing,NA,Hibiscus and Bays,Off-road shared path,1276.22826618592
858,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,100.892475787124
859,NA,NA,Existing,NA,Hibiscus and Bays,Off-road shared path,85.4551409876498
860,1025,Millwater Pwy,Existing,NA,Hibiscus and Bays,Off-road shared path,283.574181184302
866,104,North Western Cycleway (Lincoln Rd to Westgate),Existing,NA,Henderson Massey,Off-road shared path,1084.19724105093
867,399,Wharf,Existing,2016,Devonport-Takapuna,Off-road shared path,96.6493656510505
870,1031,Wesley Street,Existing,NA,Devonport - Takapuna,Off-road shared path,57.9102170405087
872,1052,Vauxhall Road,Existing,NA,Devonport - Takapuna,Off-road shared path,227.940893801524
877,310,Fred Thomas Drive,Existing,NA,Devonport - Takapuna,Off-road shared path,75.20926874444
878,306,Esmonde Road,Existing,NA,Devonport - Takapuna,Off-road shared path,15.408628018265
881,310,Fred Thomas Drive,Existing,NA,Devonport - Takapuna,Off-road shared path,452.05487529498
882,443,Seabrook Avenue (Titirangi),Existing,2018,Whau,Off-road shared path,159.555025605703
884,NA,Milford Reserve,Existing,2016,Devonport-Takapuna,Off-road shared path,173.005295994515
887,NA,Shakespeare Rd,Existing,2012,Devonport-Takapuna,Off-road shared path,34.0063604485307
892,NA,Shakesepare Rd,Existing,2012,Devonport-Takapuna,Off-road shared path,37.4732699726393
896,387,Rosedale Road,Existing,NA,Upper Harbour,Off-road shared path,75.2800898210305
898,NA,NA,Existing,NA,NA,Off-road shared path,98.1859528685476
900,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,55.5149433917741
901,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,38.7753384714931
902,31,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,255.480754517211
905,28,Forrest Hill Road,Existing,NA,Devonport - Takapuna,Off-road shared path,1002.35513780376
907,29,East Coast Road,Existing,NA,Devonport - Takapuna,Off-road shared path,767.742217874558
909,NA,NA,Existing,NA,NA,Off-road shared path,82.327697289581
910,NA,NA,Existing,NA,NA,Off-road shared path,101.18163963936
912,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,677.264354888694
917,28,Forrest Hill Road,Existing,NA,Devonport - Takapuna,Off-road shared path,1074.22545959193
918,1304,Unbuffered cycle lane - Steve,Existing,NA,Upper Harbour,Off-road shared path,259.399932998316
919,NA,Constellation Dr,Existing,NA,NA,Off-road shared path,34.8871063584836
920,29,East Coast Road,Existing,NA,Devonport - Takapuna,Off-road shared path,180.548207909654
922,1347,Browns Bay Rd,Existing,NA,Upper Harbour,Off-road shared path,141.08146484489
923,389,Albany Expressway (Don McKinnon),Existing,NA,Upper Harbour,Off-road shared path,747.537032592668
924,389,Albany Expressway (Don McKinnon),Existing,NA,Upper Harbour,Off-road shared path,240.794397504505
925,389,Albany Expressway (Don McKinnon),Existing,NA,Upper Harbour,Off-road shared path,292.03307253829
927,32,Albany Highway (North),Existing,NA,Upper Harbour,Off-road shared path,155.195201463694
